id ;nombre
1;UNION JAPAN
2;OE64816
3;WIX
4;PUROLATOR
5;PRIMEGUARD
6;FUJITOYO
7;FUJITOYO 
8;FUJITOYO FILTRO DE ELEMENTO
9;AUTO SPARE PARTS
10;FRAM
11;K1335 FILTRON
12;FILTRON
13;IR AUTOPARTS
14;IRAUTOPARTS
15;FUJITOYO  (IMPRESA)
16;PUROLATOR TECH
17;RAON
18;NIPON 
19;AUTO PARTS
20;NIPON
21;PMC (SPARK)
22;HOKAIDO HEAVY DUTY JAPONESAS
23;MANDO ALEMANAS
24;RAYBESTOS
25;KASHIMA
26;WUNSCHER GERMANY
27;WUNSCHER 
28;GERMANY
29;HELLA DE BANANA  14”
30;HELLA DE BANANA 16”
31;HELLA DE BANANA 18”
32;HELLA DE BANANA20”
33;HELLA DE BANANA 22”
34;HELLA DE BANANA 26”
35;HELLA DE BANANA 28”
36;HELLA ESTANDAR 13”
37;HELLA ESTANDAR 15”
38;HELLA ESTANDAR 16”
39;HELLA ESTANDAR 18” 
40;HELLA ESTANDAR 20” 
41;HELLA ESTANDAR SP22”
42;HELLA ESTANDAR S26”
43;BUSH12” REAR
44;BUSH 14” REAR
45;MAG 1
46;UNIX
47;HYUNDAI
48;MAG1 
49;CASTROL
50;CASTROL 
51;UNIX ATF MV HIGH
52;AISIN
53;EUROL
54;TITAN
55;MAG
56;MYSTIK
57;BECKARNLEY
58;VAICO
